Time [s],Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
6.376113396,1,0,0,0,0,0,0
6.376114376,0,0,0,0,0,0,0
6.376115352,1,0,0,0,0,0,0
6.376117304,0,0,0,0,0,0,0
6.376119256,1,0,0,0,0,0,0
6.376120232,0,0,0,0,0,0,0
6.376125116,1,0,0,0,0,0,0
6.376128048,0,0,0,0,0,0,0
6.376129024,1,0,0,0,0,0,0
6.377056764,0,0,0,0,0,0,0
6.377057740,1,0,0,0,0,0,0
6.377058716,0,0,0,0,0,0,0
6.377059692,1,0,0,0,0,0,0
6.377060668,0,0,0,0,0,0,0
6.377062624,1,0,0,0,0,0,0
6.377063600,0,0,0,0,0,0,0
6.377064576,1,0,0,0,0,0,0
6.377065552,0,0,0,0,0,0,0
6.377073364,1,0,0,0,0,0,0
6.377074344,0,0,0,0,0,0,0
6.377076296,1,0,0,0,0,0,0
6.377077272,0,0,0,0,0,0,0
6.377078248,1,0,0,0,0,0,0
6.377079224,0,0,0,0,0,0,0
6.377080200,1,0,0,0,0,0,0
6.377083132,0,0,0,0,0,0,0
6.377084108,1,0,0,0,0,0,0
6.377086060,0,0,0,0,0,0,0
6.377088012,1,0,0,0,0,0,0
6.377088992,0,0,0,0,0,0,0
6.377089968,1,0,0,0,0,0,0
6.377091920,0,0,0,0,0,0,0
6.377093872,1,0,0,0,0,0,0
6.377094848,0,0,0,0,0,0,0
6.377096804,1,0,0,0,0,0,0
6.377109500,0,0,0,0,0,0,0
6.377114380,1,0,0,0,0,0,0
6.377117312,0,0,0,0,0,0,0
6.377119264,1,0,0,0,0,0,0
6.377120240,0,0,0,0,0,0,0
6.377125124,1,0,0,0,0,0,0
6.377128052,0,0,0,0,0,0,0
6.377129028,1,0,0,0,0,0,0
6.377130008,0,0,0,0,0,0,0
6.377130984,1,0,0,0,0,0,0
6.378056772,0,0,0,0,0,0,0
6.378057748,1,0,0,0,0,0,0
6.378058724,0,0,0,0,0,0,0
6.378059700,1,0,0,0,0,0,0
6.378060676,0,0,0,0,0,0,0
6.378062628,1,0,0,0,0,0,0
6.378063608,0,0,0,0,0,0,0
6.378064584,1,0,0,0,0,0,0
6.378065560,0,0,0,0,0,0,0
6.378073372,1,0,0,0,0,0,0
6.378074348,0,0,0,0,0,0,0
6.378075324,1,0,0,0,0,0,0
6.378076304,0,0,0,0,0,0,0
6.378077280,1,0,0,0,0,0,0
6.378078256,0,0,0,0,0,0,0
6.378080208,1,0,0,0,0,0,0
6.378082160,0,0,0,0,0,0,0
6.378083136,1,0,0,0,0,0,0
6.378086068,0,0,0,0,0,0,0
6.378088020,1,0,0,0,0,0,0
6.378088996,0,0,0,0,0,0,0
6.378089972,1,0,0,0,0,0,0
6.378091928,0,0,0,0,0,0,0
6.378093880,1,0,0,0,0,0,0
6.378094856,0,0,0,0,0,0,0
6.378096808,1,0,0,0,0,0,0
6.378109504,0,0,0,0,0,0,0
6.378113412,1,0,0,0,0,0,0
6.378117320,0,0,0,0,0,0,0
6.378119272,1,0,0,0,0,0,0
6.378120248,0,0,0,0,0,0,0
6.378125132,1,0,0,0,0,0,0
6.378130992,0,0,0,0,0,0,0
6.378131964,1,0,0,0,0,0,0
6.379056780,0,0,0,0,0,0,0
6.379057752,1,0,0,0,0,0,0
6.379058732,0,0,0,0,0,0,0
6.379059708,1,0,0,0,0,0,0
6.379060684,0,0,0,0,0,0,0
6.379062636,1,0,0,0,0,0,0
